id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
82,,Rudolfshütte,47.13492,12.62594,2317.0,1992-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
83,,Saalbach,47.38789,12.64844,974.6,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
85,,Schmittenhöhe,47.32872,12.73794,1955.6,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
86,,Schöckl,47.19861,15.46639,1443.0,1993-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
87,,Seefeld,47.32478,11.17542,1181.9,1997-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
88,,Semmering,47.63325,15.82839,987.6,1998-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
89,,Stift Zwettl,48.61778,15.20361,502.4,1994-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
90,,St.Andrä im Lavanttal,46.76417,14.82806,403.0,1993-03-11 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
91,,Feistritz ob Bleiburg,46.561389,14.765,523.0,2007-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
92,,St.Michael im Lungau,47.09447,13.62269,1051.9,2008-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
93,,St.Pölten Landhaus,48.19972,15.63111,273.6,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
94,,St.Radegund,47.18211,15.48978,726.3,1986-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
95,,St.Veit an der Glan,46.73917,14.38556,462.6,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
97,,Stolzalpe,47.12303,14.18822,1291.0,2007-07-24 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
98,,Tamsweg,47.13306,13.80833,1025.0,2008-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
100,,Villach Stadt,46.61806,13.87389,493.0,1993-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
101,,Waidhofen an der Ybbs,47.94556,14.80972,384.0,2004-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
102,,Weißensee-Gatschach,46.71861,13.28583,949.0,1982-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
103,,Weitensfeld,46.84917,14.19083,704.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
104,,Weyer,47.85719,14.66572,426.1,2007-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
105,,Wien Hohe Warte,48.24861,16.35639,198.0,1993-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja
106,,Wien Mariabrunn,48.20694,16.22944,225.0,1997-01-16 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja
107,,Wien Unterlaa,48.125,16.41944,200.0,1996-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,ja
108,,Windischgarsten,47.72028,14.32611,599.9,1983-10-07 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,ja
109,,St.Wolfgang,47.74028,13.44194,544.0,1990-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,ja
111,,Wolfsegg,48.10542,13.67092,635.1,1995-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
112,,Wiener Neustadt Flugplatz,47.83233,16.23147,275.0,1993-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
113,,Zell am See,47.29,12.78639,754.0,1984-07-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,,,,ja
115,,Zeltweg,47.19983,14.74689,677.6,1992-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
116,,Deutschlandsberg,46.82167,15.22694,354.0,1995-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
117,,Brand,47.10306,9.73833,1029.0,2001-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
118,,Kitzbühel,47.44389,12.38917,772.0,2007-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
